Instrument Name,SDS1204X-E
Serial Number,SDSMMFCD6R2257
Software Version,8.3.6.1.37R8
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,1.2V
Awg Offset,0.9V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100Hz
Stop Frequency,1000000Hz
Sweep Line,50
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-11.5dB,28.5dB
Phase Unit,Degree
Phase Axis Range,100Deg,180Deg
Bode Data
Number of Points,81
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
100,23.5060795,179.68172
112.201845,23.4989015,179.725068
125.892541,23.5270908,179.888164
141.253754,23.5188158,179.699972
158.489319,23.4928808,179.550568
177.827941,23.5065134,179.534306
199.526231,23.5122003,179.38536
223.872114,23.4799823,179.046824
251.188643,23.5137239,179.351887
281.838293,23.4953944,179.369398
316.227766,23.4885361,179.201438
354.813389,23.4919089,179.333826
398.107171,23.5354756,179.138853
446.683592,23.4845392,178.879053
501.187234,23.5076109,178.849796
562.341325,23.4884669,178.671311
630.957344,23.4839233,178.569745
707.945784,23.4807692,178.33731
794.328235,23.4863145,178.389176
891.250938,23.4509909,177.952816
1000,23.4928094,177.961595
1122.01845,23.4885227,177.286178
1258.92541,23.4284953,176.855813
1412.53754,23.1849563,176.656222
1584.89319,23.2070998,176.55324
1778.27941,23.1590619,176.070804
1995.26231,23.1612333,175.710229
2238.72114,23.160141,175.105955
2511.88643,23.1502039,174.750368
2818.38293,23.1101541,173.87321
3162.27766,23.0944185,173.104907
3548.13389,23.1096477,172.34476
3981.07171,23.0868267,171.229916
4466.83592,23.056772,170.482791
5011.87234,23.0700905,169.654461
5623.41325,22.9902806,168.045488
6309.57344,22.9421873,166.628932
7079.45784,22.9034006,165.149023
7943.28235,22.8285769,163.883438
8912.50938,22.7069819,161.751225
10000,22.5883148,159.857452
11220.1845,22.4588746,157.398834
12589.2541,22.280966,155.045457
14125.3754,22.0767345,152.412433
15848.9319,21.7744504,149.740229
17782.7941,21.5204344,146.992816
19952.6231,21.1595362,143.837179
22387.2114,20.813131,140.53936
25118.8643,20.3368893,137.498374
28183.8293,19.8748073,134.381174
31622.7766,19.7346701,131.138725
35481.3389,19.1122186,128.137271
39810.7171,18.4960181,125.200319
44668.3592,17.7986435,122.420298
50118.7234,16.6346631,119.790367
56234.1325,15.8341154,117.24333
63095.7344,15.0230379,114.913924
70794.5784,14.1697826,112.83409
79432.8235,13.2593542,110.923308
89125.0938,12.4375889,109.338024
100000,11.5139109,107.736163
112201.845,10.5902507,106.516534
125892.541,9.57981541,105.361433
141253.754,8.63688494,104.464395
158489.319,7.71280267,103.596213
177827.941,6.71306752,103.182905
199526.231,5.7663104,102.692975
223872.114,4.79815492,102.306003
251188.643,3.82590418,102.188012
281838.293,3.26979697,102.194293
316227.766,2.26968746,102.215368
354813.389,1.31907626,102.711092
398107.171,0.334737266,103.171193
446683.592,-0.638759471,103.84838
501187.234,-1.74153307,104.465565
562341.325,-2.70830412,105.402105
630957.344,-3.69382059,106.60158
707945.784,-4.67379416,107.882767
794328.235,-5.67270688,109.550208
891250.938,-6.56816351,111.907539
1000000,-7.48266987,113.761621
