Instrument Name,SDS1204X-E
Serial Number,SDSMMFCD6R2257
Software Version,8.3.6.1.37R8
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,1.2V
Awg Offset,0.9V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,1000Hz
Stop Frequency,30000000Hz
Sweep Line,50
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-38dB,42dB
Phase Unit,Degree
Phase Axis Range,-150Deg,210Deg
Bode Data
Number of Points,91
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
1000,23.511151,177.922621
1122.01845,23.507986,177.783663
1258.92541,23.5026027,177.440587
1412.53754,23.4959329,177.127404
1584.89319,23.4981967,176.742993
1778.27941,23.5407954,176.441408
1995.26231,23.4957176,175.98026
2238.72114,23.51655,175.324682
2511.88643,23.1901772,174.890403
2818.38293,23.1833033,174.2915
3162.27766,23.1742687,173.358489
3548.13389,23.1593887,172.78002
3981.07171,23.1823921,171.625622
4466.83592,23.1142521,170.688384
5011.87234,23.1209785,169.622932
5623.41325,23.0575864,168.228987
6309.57344,23.0319876,167.066019
7079.45784,22.960545,165.336784
7943.28235,22.8510762,163.87921
8912.50938,22.7606527,161.775593
10000,22.6510737,159.732954
11220.1845,22.5228719,157.606154
12589.2541,22.3617058,155.048914
14125.3754,22.1500589,152.606296
15848.9319,21.9112545,150.054729
17782.7941,22.3629479,146.869761
19952.6231,22.0544027,143.809534
22387.2114,21.6437987,140.782489
25118.8643,21.1922309,137.523302
28183.8293,20.724276,134.373819
31622.7766,20.1740263,131.102437
35481.3389,19.5520889,128.02922
39810.7171,18.6198723,125.010815
44668.3592,17.9183259,122.112955
50118.7234,17.1668937,119.354573
56234.1325,15.9780556,116.850843
63095.7344,15.1462035,114.525129
70794.5784,14.3056575,112.358456
79432.8235,13.4274891,110.456791
89125.0938,12.5325459,108.615389
100000,11.6789983,107.052656
112201.845,10.7559591,105.697857
125892.541,9.8159319,104.47472
141253.754,9.10118162,103.358447
158489.319,8.15603457,102.431311
177827.941,7.19269226,101.743216
199526.231,6.21851098,101.051839
223872.114,4.94289251,100.623728
251188.643,3.96079666,100.191933
281838.293,3.0074684,99.9820667
316227.766,2.01581643,99.8396122
354813.389,1.4641798,99.872237
398107.171,0.334050161,99.8455805
446683.592,-0.659472751,100.105906
501187.234,-1.63422565,100.438874
562341.325,-2.65163803,101.042794
630957.344,-3.64616325,101.671491
707945.784,-4.65751019,102.379211
794328.235,-5.61717021,103.608331
891250.938,-6.60171079,104.877967
1000000,-7.58556585,106.342529
1122018.45,-8.54216366,108.122742
1258925.41,-9.49684845,109.982687
1412537.54,-10.4649562,112.431185
1584893.19,-11.7851598,115.049097
1778279.41,-12.701728,118.229967
1995262.31,-13.5466367,121.827538
2238721.14,-14.3367884,126.062817
2511886.43,-14.7923581,130.850016
2818382.93,-15.4244568,135.9893
3162277.66,-15.8315072,141.480819
3548133.89,-16.4610546,147.280041
3981071.71,-16.5142355,152.541173
4466835.92,-16.4746724,157.839565
5011872.34,-16.0512269,161.842529
5623413.25,-15.7514271,165.234615
6309573.44,-15.2171744,167.529553
7079457.84,-14.5847396,168.546087
7943282.35,-13.9506127,168.329652
8912509.38,-12.9151988,167.365339
10000000,-12.1047288,165.055493
11220184.5,-11.2970003,162.008921
12589254.1,-10.4351313,157.931262
14125375.4,-9.38345561,153.545032
15848931.9,-8.20010808,147.696982
17782794.1,-6.34251065,141.558869
19952623.1,-0.856333658,86.7563766
22387211.4,-8.76260628,118.075592
25118864.3,-7.07734585,111.955142
28183829.3,-17.42236,-113.839653
30000000,3.47711253,121.221567
