Record Length,Analog:700,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V,,
Vertical Scale,CH1:+2.000000E-01, CH2:+2.000000E-01,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+1.000000E-01,
Model Number,SDS1204X-E,
Serial Number,SDSMMFCD6R2257,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2
Second,Value,Value
-7.000000E-07,+2.640000E-01,+2.480000E-01
-6.980000E-07,+2.640000E-01,+2.400000E-01
-6.960000E-07,+2.560000E-01,+2.480000E-01
-6.940000E-07,+2.560000E-01,+2.480000E-01
-6.920000E-07,+2.560000E-01,+2.320000E-01
-6.900000E-07,+2.560000E-01,+2.480000E-01
-6.880000E-07,+2.640000E-01,+2.480000E-01
-6.860000E-07,+2.640000E-01,+2.480000E-01
-6.840000E-07,+2.640000E-01,+2.480000E-01
-6.820000E-07,+2.560000E-01,+2.480000E-01
-6.800000E-07,+2.560000E-01,+2.400000E-01
-6.780000E-07,+2.640000E-01,+2.560000E-01
-6.760000E-07,+2.560000E-01,+2.480000E-01
-6.740000E-07,+2.560000E-01,+2.400000E-01
-6.720000E-07,+2.560000E-01,+2.400000E-01
-6.700000E-07,+2.560000E-01,+2.480000E-01
-6.680000E-07,+2.640000E-01,+2.480000E-01
-6.660000E-07,+2.640000E-01,+2.480000E-01
-6.640000E-07,+2.560000E-01,+2.480000E-01
-6.620000E-07,+2.560000E-01,+2.480000E-01
-6.600000E-07,+2.640000E-01,+2.480000E-01
-6.580000E-07,+2.640000E-01,+2.480000E-01
-6.560000E-07,+2.560000E-01,+2.480000E-01
-6.540000E-07,+2.640000E-01,+2.480000E-01
-6.520000E-07,+2.640000E-01,+2.400000E-01
-6.500000E-07,+2.640000E-01,+2.480000E-01
-6.480000E-07,+2.640000E-01,+2.480000E-01
-6.460000E-07,+2.640000E-01,+2.480000E-01
-6.440000E-07,+2.720000E-01,+2.400000E-01
-6.420000E-07,+2.560000E-01,+2.480000E-01
-6.400000E-07,+2.560000E-01,+2.480000E-01
-6.380000E-07,+2.560000E-01,+2.400000E-01
-6.360000E-07,+2.640000E-01,+2.480000E-01
-6.340000E-07,+2.640000E-01,+2.320000E-01
-6.320000E-07,+2.640000E-01,+2.320000E-01
-6.300000E-07,+2.560000E-01,+2.480000E-01
-6.280000E-07,+2.640000E-01,+2.400000E-01
-6.260000E-07,+2.560000E-01,+2.480000E-01
-6.240000E-07,+2.560000E-01,+2.400000E-01
-6.220000E-07,+2.560000E-01,+2.480000E-01
-6.200000E-07,+2.560000E-01,+2.480000E-01
-6.180000E-07,+2.560000E-01,+2.320000E-01
-6.160000E-07,+2.560000E-01,+2.480000E-01
-6.140000E-07,+2.640000E-01,+2.400000E-01
-6.120000E-07,+2.560000E-01,+2.480000E-01
-6.100000E-07,+2.560000E-01,+2.400000E-01
-6.080000E-07,+2.640000E-01,+2.480000E-01
-6.060000E-07,+2.640000E-01,+2.400000E-01
-6.040000E-07,+2.560000E-01,+2.400000E-01
-6.020000E-07,+2.640000E-01,+2.400000E-01
-6.000000E-07,+2.560000E-01,+2.480000E-01
-5.980000E-07,+2.560000E-01,+2.480000E-01
-5.960000E-07,+2.560000E-01,+2.400000E-01
-5.940000E-07,+2.640000E-01,+2.400000E-01
-5.920000E-07,+2.640000E-01,+2.400000E-01
-5.900000E-07,+2.640000E-01,+2.480000E-01
-5.880000E-07,+2.640000E-01,+2.480000E-01
-5.860000E-07,+2.640000E-01,+2.400000E-01
-5.840000E-07,+2.640000E-01,+2.400000E-01
-5.820000E-07,+2.640000E-01,+2.480000E-01
-5.800000E-07,+2.560000E-01,+2.480000E-01
-5.780000E-07,+2.560000E-01,+2.480000E-01
-5.760000E-07,+2.560000E-01,+2.480000E-01
-5.740000E-07,+2.560000E-01,+2.480000E-01
-5.720000E-07,+2.640000E-01,+2.480000E-01
-5.700000E-07,+2.640000E-01,+2.480000E-01
-5.680000E-07,+2.560000E-01,+2.400000E-01
-5.660000E-07,+2.640000E-01,+2.400000E-01
-5.640000E-07,+2.560000E-01,+2.480000E-01
-5.620000E-07,+2.560000E-01,+2.400000E-01
-5.600000E-07,+2.560000E-01,+2.480000E-01
-5.580000E-07,+2.560000E-01,+2.320000E-01
-5.560000E-07,+2.560000E-01,+2.480000E-01
